Device: USB-1408FS-Plus,,,,
Serial Number: 18FB9D0,,,,
Channel Count: 3,,,,
Sample Count: 31250,,,,
Start Time: 6/25/2018 1:33:59 PM,,,,
Sampling Interval: 0.0005,,,,
Time,Height (mm),SLS Voltag (V),Applied Vo (V),LS Resistance (ohms)
0.071,0,5.937,11.801,323.7811392
0.0715,0,5.937,11.804,323.6155787
0.072,0,5.937,11.804,323.6155787
0.0725,0.599,5.937,11.804,323.6155787
0.073,0,5.937,11.801,323.7811392
0.0735,0,5.934,11.804,323.2867462
0.074,0.3,5.937,11.801,323.7811392
0.0745,0,5.937,11.804,323.6155787
0.075,0.3,5.937,11.804,323.6155787
0.0755,0,5.937,11.801,323.7811392
0.076,0,5.934,11.801,323.4520539
0.0765,0.3,5.939,11.801,324.0007165
0.077,0.3,5.937,11.801,323.7811392
0.0775,0,5.937,11.801,323.7811392
0.078,0.599,5.937,11.801,323.7811392
0.0785,0.3,5.937,11.804,323.6155787
0.079,0.3,5.937,11.801,323.7811392
0.0795,0,5.937,11.801,323.7811392
0.08,0.3,5.937,11.804,323.6155787
0.0805,0.3,5.937,11.804,323.6155787
0.081,0.3,5.937,11.801,323.7811392
0.0815,0,5.937,11.801,323.7811392
0.082,0.3,5.937,11.801,323.7811392
0.0825,0.599,5.937,11.801,323.7811392
0.083,0.3,5.937,11.804,323.6155787
0.0835,0,5.937,11.801,323.7811392
0.084,0,5.937,11.804,323.6155787
0.0845,0,5.937,11.804,323.6155787
0.085,0.3,5.937,11.801,323.7811392
0.0855,0,5.937,11.801,323.7811392
0.086,0,5.937,11.801,323.7811392
0.0865,0.3,5.939,11.804,323.8349872
0.087,0.599,5.937,11.804,323.6155787
0.0875,0,5.937,11.804,323.6155787
0.088,0,5.937,11.801,323.7811392
0.0885,0,5.937,11.804,323.6155787
0.089,0.3,5.937,11.804,323.6155787
0.0895,0.3,5.937,11.804,323.6155787
0.09,0,5.937,11.804,323.6155787
0.0905,0.3,5.937,11.804,323.6155787
0.091,0.3,5.937,11.804,323.6155787
0.0915,0,5.939,11.804,323.8349872
0.092,0,5.937,11.804,323.6155787
0.0925,0,5.937,11.804,323.6155787
0.093,0.599,5.937,11.804,323.6155787
0.0935,0.3,5.937,11.801,323.7811392
0.094,0,5.939,11.801,324.0007165
0.0945,0.3,5.937,11.804,323.6155787
0.095,0.599,5.937,11.801,323.7811392
0.0955,0.3,5.937,11.801,323.7811392
0.096,0,5.937,11.804,323.6155787
0.0965,0.3,5.937,11.801,323.7811392
0.097,0.3,5.937,11.801,323.7811392
0.0975,0.3,5.939,11.801,324.0007165
0.098,0,5.937,11.801,323.7811392
0.0985,0.3,5.937,11.801,323.7811392
0.099,0,5.939,11.801,324.0007165
0.0995,0.599,5.937,11.804,323.6155787
0.1,0.3,5.937,11.804,323.6155787
0.1005,0,5.937,11.804,323.6155787
0.101,0,5.937,11.801,323.7811392
0.1015,0.3,5.937,11.804,323.6155787
0.102,0.599,5.937,11.801,323.7811392
0.1025,0,5.937,11.804,323.6155787
0.103,0,5.937,11.801,323.7811392
0.1035,0.599,5.937,11.801,323.7811392
0.104,0,5.937,11.801,323.7811392
0.1045,0,5.937,11.804,323.6155787
0.105,0.3,5.937,11.804,323.6155787
0.1055,0.599,5.939,11.801,324.0007165
0.106,0,5.937,11.801,323.7811392
0.1065,0,5.937,11.801,323.7811392
0.107,0,5.937,11.801,323.7811392
0.1075,0.599,5.939,11.801,324.0007165
0.108,0,5.937,11.804,323.6155787
0.1085,0,5.937,11.801,323.7811392
0.109,0.3,5.937,11.801,323.7811392
0.1095,0.3,5.937,11.804,323.6155787
0.11,0.3,5.939,11.804,323.8349872
0.1105,0,5.937,11.804,323.6155787
0.111,0,5.937,11.801,323.7811392
0.1115,0,5.937,11.804,323.6155787
0.112,0.599,5.937,11.804,323.6155787
0.1125,0.3,5.937,11.804,323.6155787
0.113,0,5.939,11.801,324.0007165
0.1135,0,5.939,11.801,324.0007165
0.114,0.3,5.937,11.804,323.6155787
0.1145,0,5.937,11.801,323.7811392
0.115,0,5.934,11.801,323.4520539
0.1155,0.3,5.937,11.804,323.6155787
0.116,0.599,5.937,11.801,323.7811392
0.1165,0.3,5.937,11.804,323.6155787
0.117,0,5.937,11.804,323.6155787
0.1175,0.3,5.937,11.804,323.6155787
0.118,0.599,5.937,11.801,323.7811392
0.1185,0,5.937,11.804,323.6155787
0.119,0,5.937,11.801,323.7811392
0.1195,0,5.937,11.804,323.6155787
0.12,0.3,5.937,11.804,323.6155787
0.1205,0,5.937,11.804,323.6155787
0.121,0,5.937,11.801,323.7811392
0.1215,0,5.937,11.804,323.6155787
0.122,0.3,5.937,11.801,323.7811392
0.1225,0.599,5.937,11.804,323.6155787
0.123,0,5.937,11.801,323.7811392
0.1235,0,5.937,11.804,323.6155787
0.124,0,5.937,11.804,323.6155787
0.1245,0.3,5.937,11.804,323.6155787
0.125,0,5.937,11.801,323.7811392
0.1255,0,5.937,11.801,323.7811392
0.126,0,5.939,11.801,324.0007165
0.1265,0.599,5.937,11.804,323.6155787
0.127,0.599,5.937,11.801,323.7811392
0.1275,0,5.937,11.801,323.7811392
0.128,0,5.937,11.801,323.7811392
0.1285,0.3,5.937,11.801,323.7811392
0.129,0.3,5.937,11.804,323.6155787
0.1295,0,5.937,11.804,323.6155787
0.13,0.3,5.937,11.801,323.7811392
0.1305,0.599,5.939,11.806,323.7245952
0.131,0.3,5.937,11.804,323.6155787
0.1315,0,5.934,11.804,323.2867462
0.132,0.599,5.937,11.801,323.7811392
0.1325,0.599,5.937,11.804,323.6155787
0.133,0,5.934,11.801,323.4520539
0.1335,0,5.934,11.801,323.4520539
0.134,0,5.937,11.801,323.7811392
0.1345,0,5.939,11.804,323.8349872
0.135,0.3,5.937,11.804,323.6155787
0.1355,0.3,5.937,11.801,323.7811392
0.136,0,5.937,11.804,323.6155787
0.1365,0,5.937,11.804,323.6155787
0.137,0.3,5.937,11.801,323.7811392
0.1375,0.599,5.937,11.804,323.6155787
0.138,0,5.937,11.804,323.6155787
0.1385,0,5.937,11.804,323.6155787
0.139,0.3,5.937,11.804,323.6155787
0.1395,0.3,5.937,11.801,323.7811392
0.14,0,5.939,11.804,323.8349872
